[Header]\r\n2016-06-24 10:20:15,146 [10316] DEBUG Utility.RunTimeLogger [(null)] - 2016/6/24 10:20:15:ºÙºÙºÙºÙºÙºÙºÙºÙ¹þ¹þ¹þºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙ
[Footer]\r\n[Header]\r\n2016-06-24 10:31:29,198 [14000] DEBUG Utility.RunTimeLogger [(null)] - 2016/6/24 10:31:28:ºÙºÙºÙºÙºÙºÙºÙºÙ¹þ¹þ¹þºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙ
2016-06-24 10:31:45,462 [15064] DEBUG Utility.RunTimeLogger [(null)] - 2016/6/24 10:31:45:ºÙºÙºÙºÙºÙºÙºÙºÙ¹þ¹þ¹þºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙ
[Footer]\r\n[Header]\r\n2016-06-24 13:11:33,957 [14236] DEBUG Utility.RunTimeLogger [(null)] - 2016/6/24 13:11:33:ºÙºÙºÙºÙºÙºÙºÙºÙ¹þ¹þ¹þºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙ
2016-06-24 13:12:22,073 [14236] DEBUG Utility.RunTimeLogger [(null)] - 2016/6/24 13:12:22:ºÙºÙºÙºÙºÙºÙºÙºÙ¹þ¹þ¹þºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙ
2016-06-24 13:36:23,379 [9512] DEBUG Utility.RunTimeLogger [(null)] - 2016/6/24 13:36:23:ºÙºÙºÙºÙºÙºÙºÙºÙ¹þ¹þ¹þºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙºÙ
2016-06-24 13:37:08,016 [9512] DEBUG Utility.RunTimeLogger [(null)] - 2016/6/24 13:37:08:Invalid column name 'BOX_NUMBER'.
Invalid column name 'BOX_NUMBER'.
[Footer]\r\n[Header]\r\n2016-07-12 16:51:41,309 [10572] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/12 16:51:40:ÒÑÌí¼ÓÏî¡£×ÖµäÖÐµÄ¹Ø¼ü×Ö:¡°PROJECT_ITEM_ID¡±ËùÌí¼ÓµÄ¹Ø¼ü×Ö:¡°PROJECT_ITEM_ID¡±
2016-07-12 16:52:07,381 [780] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/12 16:52:07:ÒÑÌí¼ÓÏî¡£×ÖµäÖÐµÄ¹Ø¼ü×Ö:¡°PROJECT_ITEM_ID¡±ËùÌí¼ÓµÄ¹Ø¼ü×Ö:¡°PROJECT_ITEM_ID¡±
[Footer]\r\n[Header]\r\n2016-07-13 16:40:26,135 [11196] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/13 16:40:25:Invalid column name 'PLAN_TIME'.
